solver,dt,num_f_evals,num_steps,final_t,x_numeric,x_analytic,abs_dx,rel_dx,E_numeric,E_analytic,abs_dE,rel_dE,rms_dx,rms_dE
Verlet,0.05,720,360,18.00000000000012,0.6617240433159881,0.6603167082441709,0.0014073350718172284,0.002131303137186143,0.49982433709671914,0.5,1.7566290328085987E-4,3.5132580656171974E-4,7.985678671121771E-4,1.950645418728733E-4
Verlet,0.01,3600,1800,18.000000000000014,0.6603730310640078,0.6603167082440908,5.6322819916965194E-5,8.529667538890301E-5,0.49999295115675,0.5,7.048843249979342E-6,1.4097686499958684E-5,3.1879780872976365E-5,7.799267678760292E-6
LeapFrog,0.1,184,180,17.999999999999986,0.6659367923212632,0.6603167082440695,0.005620084077193721,0.008511194714637446,0.5022116406169489,0.5,0.0022116406169488956,0.004423281233897791,0.003203528866569238,0.00234209738616041
LeapFrog,0.05,364,360,18.00000000000012,0.6617240433159836,0.6603167082441709,0.0014073350718126765,0.0021313031371792495,0.500542507112824,0.5,5.425071128239978E-4,0.0010850142256479955,7.985678671099129E-4,5.850971058235477E-4
LeapFrog,0.01,1804,1800,18.000000000000014,0.6603730310639925,0.6603167082440908,5.632281990164412E-5,8.52966753657004E-5,0.5000212705091589,0.5,2.1270509158899387E-5,4.254101831779877E-5,3.187978086531937E-5,2.3396230797964505E-5
Butcher5,0.1,1080,180,17.999999999999986,0.6603166929329459,0.6603167082440695,1.5311123591210674E-8,2.3187545309774745E-8,0.4999999692182042,0.5,3.0781795778977994E-8,6.156359155795599E-8,1.2407297303473959E-8,1.7845910810967983E-8
Butcher5,0.05,2160,360,18.00000000000012,0.6603167076801784,0.6603167082441709,5.639925193534623E-10,8.541242593317963E-10,0.49999999902709746,0.5,9.729025363114374E-10,1.945805072622875E-9,3.837567309418435E-10,5.628757423561096E-10
Butcher5,0.01,10800,1800,18.000000000000014,0.6603167082438799,0.6603167082440908,2.1094237467877974E-13,3.1945636396164516E-13,0.4999999999996896,0.5,3.1041835768519377E-13,6.208367153703875E-13,1.6855900967232758E-13,1.7923596531304845E-13
Fehlberg8,0.1,2340,180,17.999999999999986,0.660316708244021,0.6603167082440695,4.851674617611934E-14,7.347496371118076E-14,0.49999999999999284,0.5,7.16093850883226E-15,1.432187701766452E-14,1.7837878504858184E-14,4.2815198324581555E-15
Fehlberg8,0.05,4680,360,18.00000000000012,0.6603167082440796,0.6603167082441709,9.126033262418787E-14,1.3820691114549499E-13,0.5000000000000001,0.5,1.1102230246251565E-16,2.220446049250313E-16,3.7583843305060374E-14,1.975656351854947E-16
Fehlberg8,0.01,23400,1800,18.000000000000014,0.6603167082440785,0.6603167082440908,1.2323475573339238E-14,1.8662977052496112E-14,0.4999999999999992,0.5,7.771561172376096E-16,1.5543122344752192E-15,1.0912516101394051E-13,7.4308840555094105E-16
